0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,3,3,4,5,3,3,4,5,3,4,0,0,5,3,4,5,3,3,4,5,3,3,4,0
0,9,1,1,2,9,1,1,2,9,1,2,0,0,9,1,2,9,1,1,2,9,1,1,2,0
0,8,6,6,7,8,6,6,7,9,1,2,0,0,9,1,2,8,6,6,7,8,6,6,7,0
0,5,3,3,4,5,3,3,4,9,1,2,0,0,9,1,2,5,3,3,4,5,3,3,4,0
0,9,1,1,2,9,1,1,2,8,6,7,0,0,8,6,7,9,1,1,2,9,1,1,2,0
0,9,1,1,2,9,1,1,2,0,0,0,0,0,0,0,0,9,1,1,2,9,1,1,2,0
0,9,1,1,2,9,1,1,2,0,5,3,3,3,3,4,0,9,1,1,2,9,1,1,2,0
0,8,6,6,7,8,6,6,7,0,9,1,1,1,1,2,0,8,6,6,7,8,6,6,7,0
0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
0,5,3,3,4,5,4,5,4,0,9,1,1,1,1,2,0,5,3,3,4,5,3,3,4,0
0,9,1,1,2,9,2,9,2,0,8,6,6,6,6,7,0,9,1,1,2,9,1,1,2,0
0,9,1,1,2,8,7,8,7,0,0,0,0,0,0,0,0,9,1,1,2,9,1,1,2,0
0,8,6,6,7,5,3,3,4,5,3,4,0,0,5,3,3,4,9,1,2,9,1,1,2,0
0,5,3,3,4,9,1,1,2,9,1,2,0,0,9,1,1,2,8,6,7,8,6,6,7,0
0,9,1,1,2,9,1,1,2,9,1,2,0,0,9,1,1,2,5,3,4,5,3,3,4,0
0,9,1,1,2,9,1,1,2,9,1,2,0,0,9,1,1,2,9,1,2,9,1,1,2,0
0,8,6,6,7,8,6,6,7,8,6,7,0,0,8,6,6,7,8,6,7,8,6,6,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
